method,exact_match,precision,recall,f1,avg_latency_seconds
bm25,0.626,0.6966452749864513,0.7050440530960267,0.6900861158832889,0.11777358319424093
minilm,0.556,0.6278920152169511,0.6354576936221672,0.6213555643905074,0.1274505184236914
rnn,0.036,0.0644757015460647,0.0691021731923048,0.0634252636910753,0.5790672255102545
hybrid,0.657,0.7342052607132851,0.743820701447675,0.7271853522586357,0.6034512256216258
